Element	Z	A		rho
H 	1	1.00794         0.0708
He	2	4.0026		0.122
Li	3	6.941		0.533
Be	4	9.01218		1.845
B 	5	10.81		2.34
C 	6	12.011		2.26
Cm 	6	12.011		2.26
N 	7	14.0067		0.81
O 	8	15.9994		1.14
F 	9	18.998403	1.108
Ne	10	20.179		1.207
Na	11	22.98977	0.969
Mg	12	24.305		1.735
Al	13	26.98154	2.6941
Si	14	28.0855		2.32
P 	15	30.97376	1.82
S 	16	32.06		2.07
Cl	17	35.453		1.56
Ar	18	39.948		1.40
K 	19	39.0983		0.860
Ca	20	40.08		1.55
Sc	21	44.9559		2.980
Ti	22	47.88		4.53
V 	23	50.9415		6.10
Cr	24	51.996		7.18
Mn	25	54.9380		7.43
B4C	26	55.252		2.25
Fe	26	55.847		7.860
Fp	26	55.847		7.860
Fm	26	55.847		7.860
Co	27	58.9332		8.9
Ni	28	58.69		8.876
Cu	29	63.546		8.94
Zn	30	65.38		7.112
Ga	31	69.72		5.877
Ge	32	72.59		5.307
As	33	74.9216		5.72
Se	34	78.96		4.78
Br	35	79.904		3.11
Kr	36	83.80		2.6
Rb	37	85.4678		1.529
Sr	38	87.62		2.54
Y 	39	88.9059		4.456
Zr	40	91.22		6.494
Nb	41	92.9064		8.55
Mo	42	95.94		10.20
Tc	43	98.0		11.48
Ru	44	101.07		12.39
Rh	45	102.9055	12.39
Pd	46	106.42		12.00
Ag	47	107.8682	10.48
Cd	48	112.41		8.63
In	49	114.82		7.30
Sn	50	118.69		7.30
Sb	51	121.75		6.679
Te	52	127.60		6.23
I 	53	126.9045	4.92
Xe	54	131.29		3.52
Cs	55	132.9054	1.870
Ba	56	137.33		3.5
La	57	138.9055	6.127
Ce	58	140.12		6.637
Pr	59	140.9077	6.761
Nd	60	144.24		6.994
Pm	61	145.0		7.20
Sm	62	150.36		7.51
Eu	63	151.96		5.228
Gd	64	157.25		7.8772
Tb	65	158.9254	8.214
Dy	66	162.50		8.525
Ho	67	164.9304	8.769
Er	68	167.26		9.039
Tm	69	168.9342	9.294
Yb	70	173.04		6.953
Lu	71	174.967		9.811
Hf	72	178.49		13.29
Ta	73	180.9479	16.624
W 	74	183.85		19.3
Re	75	186.207		20.98
Os	76	190.2		22.53
Ir	77	192.22		22.39
Pt	78	195.08		21.41
Au	79	196.9665	19.3
Hg	80	200.59		13.522
Tl	81	204.383		11.83
Pb	82	207.2		11.33
Bi	83	208.9804	9.730
Po	84	209.0		9.30
At	85	210.0		9999.
Rn	86	222.0		4.4
Fr	87	223.0		9999.
Ra	88	226.0254	5.0
Ac	89	227.0278	10.05
Th	90	232.0381	11.70
Pa	91	231.0359	15.34
U 	92	238.0289	18.92
