         99          99
 -1.000000      -1.000000      1.3182229E-12
-0.9795918      -1.000000     -2.9219877E-12
-0.9591838      -1.000000      2.3087736E-12
-0.9387755      -1.000000      6.2691579E-12
-0.9183674      -1.000000     -2.3915260E-11
-0.8979592      -1.000000      2.6989572E-11
-0.8775511      -1.000000      3.7070919E-11
-0.8571429      -1.000000     -1.6358394E-10
-0.8367347      -1.000000      1.2752530E-10
-0.8163266      -1.000000      3.8024367E-10
-0.7959184      -1.000000     -8.8056418E-10
-0.7755103      -1.000000     -3.1078062E-10
-0.7551021      -1.000000      2.9919596E-09
-0.7346939      -1.000000     -1.0925865E-09
-0.7142858      -1.000000     -8.1426270E-09
-0.6938776      -1.000000      5.8509753E-09
-0.6734694      -1.000000      2.1163142E-08
-0.6530613      -1.000000     -1.5927851E-08
-0.6326531      -1.000000     -5.6252325E-08
-0.6122450      -1.000000      2.3901642E-08
-0.5918368      -1.000000      1.4516884E-07
-0.5714286      -1.000000      2.5016954E-08
-0.5510204      -1.000000     -3.1011612E-07
-0.5306123      -1.000000     -3.0616056E-07
-0.5102041      -1.000000      3.7119955E-07
-0.4897959      -1.000000      1.0142245E-06
-0.4693878      -1.000000      4.2935088E-07
-0.4489796      -1.000000     -1.4114945E-06
-0.4285714      -1.000000     -2.6946620E-06
-0.4081633      -1.000000     -1.3150906E-06
-0.3877551      -1.000000      2.7058177E-06
-0.3673470      -1.000000      6.5079134E-06
-0.3469388      -1.000000      6.3509051E-06
-0.3265306      -1.000000      6.3098787E-07
-0.3061225      -1.000000     -8.5608735E-06
-0.2857143      -1.000000     -1.6482021E-05
-0.2653061      -1.000000     -1.8450250E-05
-0.2448980      -1.000000     -1.2300834E-05
-0.2244898      -1.000000      7.8507105E-07
-0.2040817      -1.000000      1.7181772E-05
-0.1836735      -1.000000      3.2590800E-05
-0.1632653      -1.000000      4.3653708E-05
-0.1428571      -1.000000      4.8786143E-05
-0.1224490      -1.000000      4.8174188E-05
-0.1020408      -1.000000      4.3235555E-05
-8.1632636E-02  -1.000000      3.5928817E-05
-6.1224505E-02  -1.000000      2.8186094E-05
-4.0816318E-02  -1.000000      2.1579654E-05
-2.0408189E-02  -1.000000      1.7202963E-05
 0.0000000E+00  -1.000000      1.5677188E-05
 2.0408189E-02  -1.000000      1.7202963E-05
 4.0816378E-02  -1.000000      2.1579654E-05
 6.1224449E-02  -1.000000      2.8186094E-05
 8.1632636E-02  -1.000000      3.5928817E-05
 0.1020408      -1.000000      4.3235555E-05
 0.1224490      -1.000000      4.8174297E-05
 0.1428572      -1.000000      4.8786143E-05
 0.1632653      -1.000000      4.3653708E-05
 0.1836735      -1.000000      3.2590800E-05
 0.2040817      -1.000000      1.7181772E-05
 0.2244898      -1.000000      7.8507105E-07
 0.2448980      -1.000000     -1.2300834E-05
 0.2653061      -1.000000     -1.8450213E-05
 0.2857143      -1.000000     -1.6482021E-05
 0.3061225      -1.000000     -8.5608735E-06
 0.3265307      -1.000000      6.3098787E-07
 0.3469388      -1.000000      6.3509356E-06
 0.3673469      -1.000000      6.5079134E-06
 0.3877551      -1.000000      2.7058177E-06
 0.4081633      -1.000000     -1.3150906E-06
 0.4285715      -1.000000     -2.6946620E-06
 0.4489797      -1.000000     -1.4114919E-06
 0.4693877      -1.000000      4.2935088E-07
 0.4897959      -1.000000      1.0142245E-06
 0.5102041      -1.000000      3.7119955E-07
 0.5306123      -1.000000     -3.0616056E-07
 0.5510205      -1.000000     -3.1011612E-07
 0.5714285      -1.000000      2.5016954E-08
 0.5918368      -1.000000      1.4516884E-07
 0.6122450      -1.000000      2.3901642E-08
 0.6326531      -1.000000     -5.6252325E-08
 0.6530613      -1.000000     -1.5927558E-08
 0.6734694      -1.000000      2.1163107E-08
 0.6938776      -1.000000      5.8509753E-09
 0.7142858      -1.000000     -8.1426270E-09
 0.7346939      -1.000000     -1.0925865E-09
 0.7551022      -1.000000      2.9919547E-09
 0.7755102      -1.000000     -3.1076822E-10
 0.7959184      -1.000000     -8.8056418E-10
 0.8163266      -1.000000      3.8024367E-10
 0.8367348      -1.000000      1.2752295E-10
 0.8571430      -1.000000     -1.6358366E-10
 0.8775510      -1.000000      3.7070381E-11
 0.8979592      -1.000000      2.6989572E-11
 0.9183674      -1.000000     -2.3915260E-11
 0.9387756      -1.000000      6.2693175E-12
 0.9591837      -1.000000      2.3088261E-12
 0.9795920      -1.000000     -2.9219622E-12
  1.000000      -1.000000      1.3182229E-12
 -1.000000     -0.9795918     -2.9219877E-12
-0.9795918     -0.9795918      2.6188446E-12
-0.9591838     -0.9795918      5.3899615E-12
-0.9387755     -0.9795918     -2.4494629E-11
-0.9183674     -0.9795918      3.5649900E-11
-0.8979592     -0.9795918      1.8557801E-11
-0.8775511     -0.9795918     -1.7018804E-10
-0.8571429     -0.9795918      2.3294677E-10
-0.8367347     -0.9795918      2.3174297E-10
-0.8163266     -0.9795918     -1.1167268E-09
-0.7959184     -0.9795918      5.8432464E-10
-0.7755103     -0.9795918      2.9705376E-09
-0.7551021     -0.9795918     -4.3369788E-09
-0.7346939     -0.9795918     -5.9775700E-09
-0.7142858     -0.9795918      1.5634896E-08
-0.6938776     -0.9795918      1.1503302E-08
-0.6734694     -0.9795918     -4.4707793E-08
-0.6530613     -0.9795918     -2.9413721E-08
-0.6326531     -0.9795918      1.1062438E-07
-0.6122450     -0.9795918      1.0362833E-07
-0.5918368     -0.9795918     -2.2234590E-07
-0.5714286     -0.9795918     -3.6470263E-07
