          99          99
  -1.000000      -1.000000     -1.5125233E-10
 -0.9795918      -1.000000     -2.0693805E-10
 -0.9591838      -1.000000     -1.5923629E-10
 -0.9387755      -1.000000      1.6578260E-10
 -0.9183674      -1.000000      1.0280107E-09
 -0.8979592      -1.000000      2.7098537E-09
 -0.8775510      -1.000000      5.3323816E-09
 -0.8571429      -1.000000      8.5011189E-09
 -0.8367347      -1.000000      1.0771586E-08
 -0.8163266      -1.000000      9.0159080E-09
 -0.7959184      -1.000000     -2.0810182E-09
 -0.7755102      -1.000000     -2.9988382E-08
 -0.7551021      -1.000000     -8.3189455E-08
 -0.7346939      -1.000000     -1.6831353E-07
 -0.7142858      -1.000000     -2.8506349E-07
 -0.6938776      -1.000000     -4.1890868E-07
 -0.6734694      -1.000000     -5.3227313E-07
 -0.6530613      -1.000000     -5.5591471E-07
 -0.6326531      -1.000000     -3.8322312E-07
 -0.6122450      -1.000000      1.2911347E-07
 -0.5918368      -1.000000      1.1505475E-06
 -0.5714285      -1.000000      2.8534839E-06
 -0.5510204      -1.000000      5.3767599E-06
 -0.5306123      -1.000000      8.7776425E-06
 -0.5102041      -1.000000      1.2977791E-05
 -0.4897959      -1.000000      1.7711323E-05
 -0.4693878      -1.000000      2.2484945E-05
 -0.4489796      -1.000000      2.6561478E-05
 -0.4285714      -1.000000      2.8973789E-05
 -0.4081633      -1.000000      2.8575203E-05
 -0.3877551      -1.000000      2.4123863E-05
 -0.3673470      -1.000000      1.4394852E-05
 -0.3469388      -1.000000     -1.6925381E-06
 -0.3265306      -1.000000     -2.4948920E-05
 -0.3061225      -1.000000     -5.5807504E-05
 -0.2857143      -1.000000     -9.4249102E-05
 -0.2653061      -1.000000     -1.3977027E-04
 -0.2448980      -1.000000     -1.9140351E-04
 -0.2244898      -1.000000     -2.4777465E-04
 -0.2040817      -1.000000     -3.0720510E-04
 -0.1836735      -1.000000     -3.6782745E-04
 -0.1632653      -1.000000     -4.2771533E-04
 -0.1428571      -1.000000     -4.8500139E-04
 -0.1224490      -1.000000     -5.3797080E-04
 -0.1020408      -1.000000     -5.8513175E-04
 -8.1632636E-02  -1.000000     -6.2525540E-04
 -6.1224505E-02  -1.000000     -6.5737619E-04
 -4.0816318E-02  -1.000000     -6.8079011E-04
 -2.0408187E-02  -1.000000     -6.9501851E-04
  0.0000000E+00  -1.000000     -6.9979101E-04
  2.0408187E-02  -1.000000     -6.9501851E-04
  4.0816374E-02  -1.000000     -6.8079011E-04
  6.1224446E-02  -1.000000     -6.5737619E-04
  8.1632636E-02  -1.000000     -6.2525540E-04
  0.1020408      -1.000000     -5.8513175E-04
  0.1224490      -1.000000     -5.3796964E-04
  0.1428572      -1.000000     -4.8500139E-04
  0.1632653      -1.000000     -4.2771533E-04
  0.1836735      -1.000000     -3.6782745E-04
  0.2040817      -1.000000     -3.0720510E-04
  0.2244898      -1.000000     -2.4777465E-04
  0.2448980      -1.000000     -1.9140351E-04
  0.2653061      -1.000000     -1.3977072E-04
  0.2857143      -1.000000     -9.4249102E-05
  0.3061225      -1.000000     -5.5807504E-05
  0.3265307      -1.000000     -2.4948920E-05
  0.3469388      -1.000000     -1.6922110E-06
  0.3673469      -1.000000      1.4394852E-05
  0.3877551      -1.000000      2.4123863E-05
