         151         151
  -4.000000      -4.000000     -0.3663772    
  -3.946667      -4.000000      0.2730092    
  -3.893333      -4.000000     -9.9152721E-02
  -3.840000      -4.000000     -0.1474029    
  -3.786667      -4.000000      0.4251663    
  -3.733333      -4.000000     -0.6531821    
  -3.680000      -4.000000      0.7235166    
  -3.626667      -4.000000     -0.5412352    
  -3.573334      -4.000000      8.9121625E-02
  -3.520000      -4.000000      0.5093732    
  -3.466667      -4.000000     -0.9809563    
  -3.413334      -4.000000       1.001513    
  -3.360000      -4.000000     -0.4076477    
  -3.306667      -4.000000     -0.5824209    
  -3.253334      -4.000000       1.344246    
  -3.200000      -4.000000      -1.192191    
  -3.146667      -4.000000     -2.0070351E-03
  -3.093333      -4.000000       1.412145    
  -3.040000      -4.000000      -1.693075    
  -2.986667      -4.000000      0.2582815    
  -2.933333      -4.000000       1.702618    
  -2.880000      -4.000000      -1.978300    
  -2.826667      -4.000000     -0.1669443    
  -2.773334      -4.000000       2.420362    
  -2.720000      -4.000000      -1.651148    
  -2.666667      -4.000000      -1.636958    
  -2.613333      -4.000000       2.876445    
  -2.560000      -4.000000      0.3315379    
  -2.506667      -4.000000      -3.401771    
  -2.453333      -4.000000      0.9001277    
  -2.400000      -4.000000       3.549993    
  -2.346667      -4.000000      -1.777379    
  -2.293334      -4.000000      -3.706050    
  -2.240000      -4.000000       2.194746    
  -2.186667      -4.000000       4.134935    
  -2.133333      -4.000000      -2.019167    
  -2.080000      -4.000000      -4.885311    
  -2.026667      -4.000000      0.9823416    
  -1.973333      -4.000000       5.638501    
  -1.920000      -4.000000       1.204357    
  -1.866667      -4.000000      -5.515714    
  -1.813334      -4.000000      -4.335255    
  -1.760000      -4.000000       3.207496    
  -1.706667      -4.000000       6.858897    
  -1.653333      -4.000000       1.841229    
  -1.600000      -4.000000      -5.727604    
  -1.546667      -4.000000      -7.109729    
  -1.493333      -4.000000     -0.8669547    
  -1.440000      -4.000000       6.542108    
  -1.386667      -4.000000       8.067330    
  -1.333333      -4.000000       2.540171    
  -1.280000      -4.000000      -5.243250    
  -1.226667      -4.000000      -9.277153    
  -1.173333      -4.000000      -6.940240    
  -1.120000      -4.000000     -0.1259563    
  -1.066667      -4.000000       6.848107    
  -1.013333      -4.000000       10.23951    
 -0.9600001      -4.000000       8.724970    
 -0.9066668      -4.000000       3.455056    
 -0.8533334      -4.000000      -3.091067    
 -0.8000000      -4.000000      -8.473807    
 -0.7466667      -4.000000      -11.18921    
 -0.6933333      -4.000000      -10.89984    
 -0.6400000      -4.000000      -8.171456    
 -0.5866666      -4.000000      -4.011704    
 -0.5333333      -4.000000      0.5501897    
 -0.4799999      -4.000000       4.724362    
 -0.4266666      -4.000000       8.054023    
 -0.3733332      -4.000000       10.38782    
 -0.3199999      -4.000000       11.79395    
 -0.2666665      -4.000000       12.46292    
 -0.2133332      -4.000000       12.62818    
 -0.1599998      -4.000000       12.51244    
 -0.1066667      -4.000000       12.29867    
 -5.3333119E-02  -4.000000       12.11847    
  0.0000000E+00  -4.000000       12.04986    
  5.3333584E-02  -4.000000       12.11847    
  0.1066667      -4.000000       12.29867    
  0.1600003      -4.000000       12.51244    
  0.2133334      -4.000000       12.62818    
  0.2666670      -4.000000       12.46292    
  0.3200001      -4.000000       11.79395    
  0.3733332      -4.000000       10.38782    
  0.4266668      -4.000000       8.054023    
  0.4799999      -4.000000       4.724362    
  0.5333335      -4.000000      0.5501897    
  0.5866666      -4.000000      -4.011704    
  0.6400002      -4.000000      -8.171456    
  0.6933333      -4.000000      -10.89984    
  0.7466669      -4.000000      -11.18921    
  0.8000000      -4.000000      -8.473807    
  0.8533337      -4.000000      -3.091067    
  0.9066668      -4.000000       3.455056    
  0.9600003      -4.000000       8.724970    
   1.013333      -4.000000       10.23951    
   1.066667      -4.000000       6.848107    
   1.120000      -4.000000     -0.1259563    
   1.173333      -4.000000      -6.940240    
   1.226667      -4.000000      -9.277153    
   1.280000      -4.000000      -5.243250    
   1.333334      -4.000000       2.540171    
   1.386667      -4.000000       8.067330    
   1.440000      -4.000000       6.542108    
   1.493333      -4.000000     -0.8669547    
   1.546667      -4.000000      -7.109729    
   1.600000      -4.000000      -5.727604    
   1.653334      -4.000000       1.841229    
   1.706667      -4.000000       6.858897    
   1.760000      -4.000000       3.207496    
   1.813334      -4.000000      -4.335255    
   1.866667      -4.000000      -5.515714    
   1.920000      -4.000000       1.204357    
   1.973334      -4.000000       5.638499    
   2.026667      -4.000000      0.9823416    
   2.080000      -4.000000      -4.885311    
   2.133334      -4.000000      -2.019097    
   2.186667      -4.000000       4.134935    
   2.240000      -4.000000       2.194686    
   2.293334      -4.000000      -3.706050    
   2.346667      -4.000000      -1.777378    
   2.400000      -4.000000       3.549993    
   2.453334      -4.000000      0.9000738    
   2.506667      -4.000000      -3.401771    
   2.560000      -4.000000      0.3315868    
   2.613333      -4.000000       2.876445    
   2.666667      -4.000000      -1.636993    
   2.720000      -4.000000      -1.651148    
   2.773334      -4.000000       2.420362    
   2.826667      -4.000000     -0.1669443    
   2.880000      -4.000000      -1.978316    
   2.933334      -4.000000       1.702636    
   2.986667      -4.000000      0.2582815    
   3.040000      -4.000000      -1.693074    
   3.093333      -4.000000       1.412145    
   3.146667      -4.000000     -2.0314474E-03
   3.200000      -4.000000      -1.192191    
   3.253334      -4.000000       1.344246    
   3.306667      -4.000000     -0.5824209    
   3.360000      -4.000000     -0.4076304    
   3.413334      -4.000000       1.001513    
   3.466667      -4.000000     -0.9809559    
   3.520000      -4.000000      0.5093732    
   3.573334      -4.000000      8.9121625E-02
   3.626667      -4.000000     -0.5412260    
   3.680001      -4.000000      0.7235103    
   3.733334      -4.000000     -0.6531854    
   3.786667      -4.000000      0.4251663    
   3.840000      -4.000000     -0.1474029    
   3.893334      -4.000000     -9.9136680E-02
   3.946667      -4.000000      0.2730092    
   4.000000      -4.000000     -0.3663772    
  -4.000000      -3.946667      0.2730092    
  -3.946667      -3.946667     -0.1186265    
  -3.893333      -3.946667     -0.1056124    
  -3.840000      -3.946667      0.3719400    
  -3.786667      -3.946667     -0.6176658    
  -3.733333      -3.946667      0.7488530    
  -3.680000      -3.946667     -0.6656813    
  -3.626667      -3.946667      0.3133222    
  -3.573334      -3.946667      0.2545158    
  -3.520000      -3.946667     -0.8360299    
  -3.466667      -3.946667       1.119121    
  -3.413334      -3.946667     -0.8321089    
  -3.360000      -3.946667     -2.9661857E-02
  -3.306667      -3.946667       1.048219    
  -3.253334      -3.946667      -1.504000    
  -3.200000      -3.946667      0.8606306    
  -3.146667      -3.946667      0.6352276    
  -3.093333      -3.946667      -1.824207    
  -3.040000      -3.946667       1.442372    
  -2.986667      -3.946667      0.5080370    
  -2.933333      -3.946667      -2.221089    
  -2.880000      -3.946667       1.598685    
  -2.826667      -3.946667       1.113198    
  -2.773334      -3.946667      -2.774734    
  -2.720000      -3.946667      0.8344744    
  -2.666667      -3.946667       2.601733    
  -2.613333      -3.946667      -2.532753    
  -2.560000      -3.946667      -1.608689    
  -2.506667      -3.946667       3.591305    
  -2.453333      -3.946667      0.4672291    
  -2.400000      -3.946667      -4.167207    
  -2.346667      -3.946667      0.3834344    
  -2.293334      -3.946667       4.586613    
  -2.240000      -3.946667     -0.7014601    
  -2.186667      -3.946667      -5.081061    
  -2.133333      -3.946667      0.2844005    
  -2.080000      -3.946667       5.621925    
  -2.026667      -3.946667       1.097574    
  -1.973333      -3.946667      -5.760424    
  -1.920000      -3.946667      -3.508568    
  -1.866667      -3.946667       4.547723    
  -1.813334      -3.946667       6.281249    
  -1.760000      -3.946667     -0.9560938    
  -1.706667      -3.946667      -7.370839    
  -1.653333      -3.946667      -4.627348    
  -1.600000      -3.946667       3.944181    
  -1.546667      -3.946667       8.439603    
  -1.493333      -3.946667       4.027977    
  -1.440000      -3.946667      -4.669402    
  -1.386667      -3.946667      -9.309020    
  -1.333333      -3.946667      -5.917523    
  -1.280000      -3.946667       2.422939    
  -1.226667      -3.946667       9.161819    
  -1.173333      -3.946667       9.672020    
  -1.120000      -3.946667       4.009614    
  -1.066667      -3.946667      -4.065277    
  -1.013333      -3.946667      -10.04209    
 -0.9600001      -3.946667      -11.21216    
 -0.9066668      -3.946667      -7.543752    
 -0.8533334      -3.946667      -1.009066    
 -0.8000000      -3.946667       5.761055    
 -0.7466667      -3.946667       10.64449    
 -0.6933333      -3.946667       12.59809    
 -0.6400000      -3.946667       11.64330    
 -0.5866666      -3.946667       8.508235    
 -0.5333333      -3.946667       4.191499    
 -0.4799999      -3.946667     -0.3800783    
 -0.4266666      -3.946667      -4.536168    
 -0.3733332      -3.946667      -7.909504    
 -0.3199999      -3.946667      -10.39163    
 -0.2666665      -3.946667      -12.05098    
 -0.2133332      -3.946667      -13.05116    
 -0.1599998      -3.946667      -13.58392    
 -0.1066667      -3.946667      -13.82624    
 -5.3333119E-02  -3.946667      -13.91489    
  0.0000000E+00  -3.946667      -13.93488    
  5.3333584E-02  -3.946667      -13.91489    
  0.1066667      -3.946667      -13.82624    
  0.1600003      -3.946667      -13.58392    
  0.2133334      -3.946667      -13.05116    
  0.2666670      -3.946667      -12.05098    
  0.3200001      -3.946667      -10.39163    
  0.3733332      -3.946667      -7.909504    
  0.4266668      -3.946667      -4.536168    
  0.4799999      -3.946667     -0.3800783    
  0.5333335      -3.946667       4.191499    
  0.5866666      -3.946667       8.508235    
  0.6400002      -3.946667       11.64330    
  0.6933333      -3.946667       12.59809    
  0.7466669      -3.946667       10.64449    
  0.8000000      -3.946667       5.761055    
  0.8533337      -3.946667      -1.009066    
  0.9066668      -3.946667      -7.543752    
  0.9600003      -3.946667      -11.21216    
   1.013333      -3.946667      -10.04209    
   1.066667      -3.946667      -4.065277    
   1.120000      -3.946667       4.009614    
   1.173333      -3.946667       9.672020    
   1.226667      -3.946667       9.161819    
   1.280000      -3.946667       2.422939    
   1.333334      -3.946667      -5.917523    
   1.386667      -3.946667      -9.309020    
   1.440000      -3.946667      -4.669402    
   1.493333      -3.946667       4.027977    
   1.546667      -3.946667       8.439603    
   1.600000      -3.946667       3.944181    
   1.653334      -3.946667      -4.627348    
   1.706667      -3.946667      -7.370839    
   1.760000      -3.946667     -0.9560938    
   1.813334      -3.946667       6.281249    
   1.866667      -3.946667       4.547723    
   1.920000      -3.946667      -3.508568    
   1.973334      -3.946667      -5.760388    
   2.026667      -3.946667       1.097574    
   2.080000      -3.946667       5.621925    
   2.133334      -3.946667      0.2844004    
   2.186667      -3.946667      -5.081061    
   2.240000      -3.946667     -0.7014598    
   2.293334      -3.946667       4.586613    
   2.346667      -3.946667      0.3833674    
   2.400000      -3.946667      -4.167207    
   2.453334      -3.946667      0.4672288    
   2.506667      -3.946667       3.591305    
   2.560000      -3.946667      -1.608736    
   2.613333      -3.946667      -2.532753    
   2.666667      -3.946667       2.601760    
   2.720000      -3.946667      0.8344744    
   2.773334      -3.946667      -2.774734    
   2.826667      -3.946667       1.113198    
   2.880000      -3.946667       1.598686    
   2.933334      -3.946667      -2.221098    
   2.986667      -3.946667      0.5080370    
   3.040000      -3.946667       1.442350    
   3.093333      -3.946667      -1.824207    
   3.146667      -3.946667      0.6352522    
   3.200000      -3.946667      0.8606306    
   3.253334      -3.946667      -1.503996    
   3.306667      -3.946667       1.048219    
   3.360000      -3.946667     -2.9681785E-02
   3.413334      -3.946667     -0.8321089    
   3.466667      -3.946667       1.119120    
   3.520000      -3.946667     -0.8360299    
   3.573334      -3.946667      0.2545158    
   3.626667      -3.946667      0.3133220    
   3.680001      -3.946667     -0.6656738    
   3.733334      -3.946667      0.7488520    
   3.786667      -3.946667     -0.6176658    
   3.840000      -3.946667      0.3719324    
   3.893334      -3.946667     -0.1056211    
   3.946667      -3.946667     -0.1186265    
   4.000000      -3.946667      0.2730092    
  -4.000000      -3.893333     -9.9152721E-02
  -3.946667      -3.893333     -0.1056124    
  -3.893333      -3.893333      0.3530263    
  -3.840000      -3.893333     -0.5945747    
  -3.786667      -3.893333      0.7517574    
  -3.733333      -3.893333     -0.7315109    
  -3.680000      -3.893333      0.4636148    
  -3.626667      -3.893333      4.3943565E-02
  -3.573334      -3.893333     -0.6550409    
  -3.520000      -3.893333       1.103863    
  -3.466667      -3.893333      -1.086919    
  -3.413334      -3.893333      0.4526554    
  -3.360000      -3.893333      0.5953436    
  -3.306667      -3.893333      -1.457533    
  -3.253334      -3.893333       1.426848    
  -3.200000      -3.893333     -0.2638623    
  -3.146667      -3.893333      -1.341810    
  -3.093333      -3.893333       2.015808    
  -3.040000      -3.893333     -0.8406846    
  -2.986667      -3.893333      -1.412559    
  -2.933333      -3.893333       2.476269    
  -2.880000      -3.893333     -0.7989246    
  -2.826667      -3.893333      -2.137765    
  -2.773334      -3.893333       2.710321    
  -2.720000      -3.893333      0.3909753    
  -2.666667      -3.893333      -3.367606    
  -2.613333      -3.893333       1.602348    
  -2.560000      -3.893333       2.971454    
  -2.506667      -3.893333      -3.156368    
  -2.453333      -3.893333      -2.164669    
  -2.400000      -3.893333       4.181518    
  -2.346667      -3.893333       1.510691    
  -2.293334      -3.893333      -4.865259    
  -2.240000      -3.893333      -1.382598    
  -2.186667      -3.893333       5.351384    
  -2.133333      -3.893333       2.035768    
  -2.080000      -3.893333      -5.515758    
  -2.026667      -3.893333      -3.606104    
  -1.973333      -3.893333       4.824885    
  -1.920000      -3.893333       5.852053    
  -1.866667      -3.893333      -2.418781    
  -1.813334      -3.893333      -7.629673    
  -1.760000      -3.893333      -2.166893    
  -1.706667      -3.893333       6.638710    
  -1.653333      -3.893333       7.387715    
  -1.600000      -3.893333     -0.8646331    
  -1.546667      -3.893333      -8.572919    
  -1.493333      -3.893333      -7.391957    
  -1.440000      -3.893333       1.335523    
  -1.386667      -3.893333       9.161960    
  -1.333333      -3.893333       9.204832    
  -1.280000      -3.893333       1.722071    
  -1.226667      -3.893333      -7.269924    
  -1.173333      -3.893333      -11.40254    
  -1.120000      -3.893333      -8.320910    
  -1.066667      -3.893333     -0.3427438    
  -1.013333      -3.893333       7.875657    
 -0.9600001      -3.893333       12.33046    
 -0.9066668      -3.893333       11.45144    
 -0.8533334      -3.893333       6.173666    
 -0.8000000      -3.893333      -1.122294    
 -0.7466667      -3.893333      -7.909673    
 -0.6933333      -3.893333      -12.42234    
 -0.6400000      -3.893333      -13.96598    
 -0.5866666      -3.893333      -12.76552    
 -0.5333333      -3.893333      -9.589213    
 -0.4799999      -3.893333      -5.367611    
 -0.4266666      -3.893333     -0.9215606    
 -0.3733332      -3.893333       3.168792    
 -0.3199999      -3.893333       6.584590    
 -0.2666665      -3.893333       9.222522    
 -0.2133332      -3.893333       11.12317    
 -0.1599998      -3.893333       12.40202    
 -0.1066667      -3.893333       13.19406    
 -5.3333119E-02  -3.893333       13.61707    
  0.0000000E+00  -3.893333       13.74905    
  5.3333584E-02  -3.893333       13.61702    
  0.1066667      -3.893333       13.19406    
  0.1600003      -3.893333       12.40195    
  0.2133334      -3.893333       11.12317    
  0.2666670      -3.893333       9.222430    
  0.3200001      -3.893333       6.584384    
  0.3733332      -3.893333       3.168792    
  0.4266668      -3.893333     -0.9217836    
  0.4799999      -3.893333      -5.367611    
  0.5333335      -3.893333      -9.589373    
  0.5866666      -3.893333      -12.76552    
  0.6400002      -3.893333      -13.96597    
  0.6933333      -3.893333      -12.42234    
  0.7466669      -3.893333      -7.909673    
  0.8000000      -3.893333      -1.122294    
  0.8533337      -3.893333       6.173666    
  0.9066668      -3.893333       11.45144    
  0.9600003      -3.893333       12.33046    
   1.013333      -3.893333       7.875657    
   1.066667      -3.893333     -0.3428352    
   1.120000      -3.893333      -8.320910    
   1.173333      -3.893333      -11.40254    
   1.226667      -3.893333      -7.269924    
   1.280000      -3.893333       1.722071    
   1.333334      -3.893333       9.204906    
   1.386667      -3.893333       9.161960    
   1.440000      -3.893333       1.335448    
   1.493333      -3.893333      -7.391957    
   1.546667      -3.893333      -8.572863    
   1.600000      -3.893333     -0.8646331    
   1.653334      -3.893333       7.387746    
   1.706667      -3.893333       6.638710    
   1.760000      -3.893333      -2.166950    
   1.813334      -3.893333      -7.629673    
   1.866667      -3.893333      -2.418727    
   1.920000      -3.893333       5.852081    
   1.973334      -3.893333       4.824812    
   2.026667      -3.893333      -3.606145    
   2.080000      -3.893333      -5.515758    
   2.133334      -3.893333       2.035850    
   2.186667      -3.893333       5.351384    
   2.240000      -3.893333      -1.382598    
   2.293334      -3.893333      -4.865259    
   2.346667      -3.893333       1.510691    
   2.400000      -3.893333       4.181518    
   2.453334      -3.893333      -2.164669    
   2.506667      -3.893333      -3.156368    
   2.560000      -3.893333       2.971454    
   2.613333      -3.893333       1.602348    
   2.666667      -3.893333      -3.367614    
   2.720000      -3.893333      0.3909753    
   2.773334      -3.893333       2.710320    
   2.826667      -3.893333      -2.137765    
   2.880000      -3.893333     -0.7989246    
   2.933334      -3.893333       2.476267    
   2.986667      -3.893333      -1.412559    
   3.040000      -3.893333     -0.8406535    
   3.093333      -3.893333       2.015808    
   3.146667      -3.893333      -1.341810    
   3.200000      -3.893333     -0.2638623    
   3.253334      -3.893333       1.426848    
   3.306667      -3.893333      -1.457533    
   3.360000      -3.893333      0.5953631    
   3.413334      -3.893333      0.4526554    
   3.466667      -3.893333      -1.086910    
   3.520000      -3.893333       1.103863    
   3.573334      -3.893333     -0.6550530    
   3.626667      -3.893333      4.3958284E-02
   3.680001      -3.893333      0.4636027    
   3.733334      -3.893333     -0.7315109    
   3.786667      -3.893333      0.7517574    
   3.840000      -3.893333     -0.5945750    
   3.893334      -3.893333      0.3530422    
   3.946667      -3.893333     -0.1056124    
   4.000000      -3.893333     -9.9152721E-02
  -4.000000      -3.840000     -0.1474029    
  -3.946667      -3.840000      0.3719400    
  -3.893333      -3.840000     -0.5945747    
  -3.840000      -3.840000      0.7506441    
  -3.786667      -3.840000     -0.7586465    
  -3.733333      -3.840000      0.5472287    
  -3.680000      -3.840000     -9.9965855E-02
  -3.626667      -3.840000     -0.4958228    
  -3.573334      -3.840000       1.027583    
  -3.520000      -3.840000      -1.205641    
  -3.466667      -3.840000      0.8048064    
  -3.413334      -3.840000      0.1377669    
  -3.360000      -3.840000      -1.194419    
  -3.306667      -3.840000       1.663799    
  -3.253334      -3.840000      -1.011446    
  -3.200000      -3.840000     -0.5654409    
  -3.146667      -3.840000       1.957710    
  -3.093333      -3.840000      -1.817298    
  -3.040000      -3.840000     -0.1226677    
  -2.986667      -3.840000       2.268598    
  -2.933333      -3.840000      -2.258008    
  -2.880000      -3.840000     -0.4111609    
  -2.826667      -3.840000       2.988439    
  -2.773334      -3.840000      -2.027372    
  -2.720000      -3.840000      -1.887692    
  -2.666667      -3.840000       3.611876    
  -2.613333      -3.840000     -4.5845173E-02
  -2.560000      -3.840000      -4.074516    
  -2.506667      -3.840000       1.896017    
  -2.453333      -3.840000       3.878700    
  -2.400000      -3.840000      -3.274675    
  -2.346667      -3.840000      -3.623312    
  -2.293334      -3.840000       4.148675    
  -2.240000      -3.840000       3.769178    
  -2.186667      -3.840000      -4.516411    
  -2.133333      -3.840000      -4.582999    
  -2.080000      -3.840000       4.158043    
  -2.026667      -3.840000       6.049017    
  -1.973333      -3.840000      -2.548541    
  -1.920000      -3.840000      -7.584768    
  -1.866667      -3.840000     -0.8669547    
  -1.813334      -3.840000       7.683477    
  -1.760000      -3.840000       5.722106    
  -1.706667      -3.840000      -4.223937    
  -1.653333      -3.840000      -9.319205    
  -1.600000      -3.840000      -3.305127    
  -1.546667      -3.840000       6.848107    
  -1.493333      -3.840000       10.10234    
  -1.440000      -3.840000       3.267306    
  -1.386667      -3.840000      -6.944497    
  -1.333333      -3.840000      -11.41516    
  -1.280000      -3.840000      -6.696101    
  -1.226667      -3.840000       3.216918    
  -1.173333      -3.840000       11.11510    
  -1.120000      -3.840000       12.04986    
  -1.066667      -3.840000       5.961969    
  -1.013333      -3.840000      -3.333815    
 -0.9600001      -3.840000      -11.04684    
 -0.9066668      -3.840000      -13.96597    
 -0.8533334      -3.840000      -11.47991    
 -0.8000000      -3.840000      -5.119335    
 -0.7466667      -3.840000       2.626425    
 -0.6933333      -3.840000       9.446408    
 -0.6400000      -3.840000       13.87633    
 -0.5866666      -3.840000       15.44093    
 -0.5333333      -3.840000       14.44117    
 -0.4799999      -3.840000       11.60561    
 -0.4266666      -3.840000       7.768903    
 -0.3733332      -3.840000       3.657419    
 -0.3199999      -3.840000     -0.2089970    
