          99          99
  -1.000000      -1.000000     -4.6150191E-11
 -0.9795918      -1.000000     -2.0812074E-10
 -0.9591838      -1.000000     -5.1368992E-10
 -0.9387755      -1.000000     -9.5877895E-10
 -0.9183674      -1.000000     -1.4014545E-09
 -0.8979592      -1.000000     -1.4328961E-09
 -0.8775510      -1.000000     -2.4027810E-10
 -0.8571429      -1.000000      3.4566559E-09
 -0.8367347      -1.000000      1.1253411E-08
 -0.8163266      -1.000000      2.4501629E-08
 -0.7959184      -1.000000      4.3151324E-08
 -0.7755102      -1.000000      6.3893637E-08
 -0.7551021      -1.000000      7.7729283E-08
 -0.7346939      -1.000000      6.7448312E-08
 -0.7142858      -1.000000      5.9686185E-09
 -0.6938776      -1.000000     -1.4307352E-07
 -0.6734694      -1.000000     -4.2084886E-07
 -0.6530613      -1.000000     -8.6346614E-07
 -0.6326531      -1.000000     -1.4859107E-06
 -0.6122450      -1.000000     -2.2602660E-06
 -0.5918368      -1.000000     -3.0905674E-06
 -0.5714285      -1.000000     -3.7884140E-06
 -0.5510204      -1.000000     -4.0554073E-06
 -0.5306123      -1.000000     -3.4787970E-06
 -0.5102041      -1.000000     -1.5464273E-06
 -0.4897959      -1.000000      2.3153195E-06
 -0.4693878      -1.000000      8.6804866E-06
 -0.4489796      -1.000000      1.8044233E-05
 -0.4285714      -1.000000      3.0734140E-05
 -0.4081633      -1.000000      4.6825440E-05
 -0.3877551      -1.000000      6.6073895E-05
 -0.3673470      -1.000000      8.7881257E-05
 -0.3469388      -1.000000      1.1130125E-04
 -0.3265306      -1.000000      1.3509359E-04
 -0.3061225      -1.000000      1.5782044E-04
 -0.2857143      -1.000000      1.7797625E-04
 -0.2653061      -1.000000      1.9413877E-04
 -0.2448980      -1.000000      2.0511946E-04
 -0.2244898      -1.000000      2.1009595E-04
 -0.2040817      -1.000000      2.0870929E-04
 -0.1836735      -1.000000      2.0111819E-04
 -0.1632653      -1.000000      1.8799619E-04
 -0.1428571      -1.000000      1.7048285E-04
 -0.1224490      -1.000000      1.5008629E-04
 -0.1020408      -1.000000      1.2855210E-04
 -8.1632636E-02  -1.000000      1.0771747E-04
 -6.1224505E-02  -1.000000      8.9350375E-05
 -4.0816318E-02  -1.000000      7.5000964E-05
 -2.0408187E-02  -1.000000      6.5879896E-05
  0.0000000E+00  -1.000000      6.2750994E-05
  2.0408187E-02  -1.000000      6.5879896E-05
  4.0816374E-02  -1.000000      7.5000964E-05
  6.1224446E-02  -1.000000      8.9350375E-05
  8.1632636E-02  -1.000000      1.0771747E-04
  0.1020408      -1.000000      1.2855210E-04
  0.1224490      -1.000000      1.5008652E-04
  0.1428572      -1.000000      1.7048285E-04
  0.1632653      -1.000000      1.8799619E-04
  0.1836735      -1.000000      2.0111819E-04
  0.2040817      -1.000000      2.0870929E-04
  0.2244898      -1.000000      2.1009595E-04
  0.2448980      -1.000000      2.0511946E-04
  0.2653061      -1.000000      1.9413902E-04
  0.2857143      -1.000000      1.7797625E-04
  0.3061225      -1.000000      1.5782044E-04
  0.3265307      -1.000000      1.3509359E-04
  0.3469388      -1.000000      1.1130103E-04
  0.3673469      -1.000000      8.7881257E-05
  0.3877551      -1.000000      6.6073895E-05
  0.4081633      -1.000000      4.6825440E-05
  0.4285715      -1.000000      3.0734140E-05
  0.4489797      -1.000000      1.8044173E-05
  0.4693877      -1.000000      8.6804866E-06
  0.4897959      -1.000000      2.3153195E-06
  0.5102041      -1.000000     -1.5464273E-06
  0.5306123      -1.000000     -3.4787970E-06
  0.5510205      -1.000000     -4.0554073E-06
  0.5714285      -1.000000     -3.7884140E-06
  0.5918368      -1.000000     -3.0905674E-06
  0.6122450      -1.000000     -2.2602660E-06
  0.6326531      -1.000000     -1.4859107E-06
  0.6530613      -1.000000     -8.6346449E-07
  0.6734694      -1.000000     -4.2084886E-07
  0.6938776      -1.000000     -1.4307352E-07
  0.7142858      -1.000000      5.9686185E-09
  0.7346939      -1.000000      6.7448312E-08
  0.7551022      -1.000000      7.7729439E-08
  0.7755102      -1.000000      6.3893637E-08
  0.7959184      -1.000000      4.3151324E-08
  0.8163266      -1.000000      2.4501629E-08
  0.8367348      -1.000000      1.1253348E-08
  0.8571430      -1.000000      3.4566259E-09
  0.8775510      -1.000000     -2.4027810E-10
  0.8979592      -1.000000     -1.4328961E-09
  0.9183674      -1.000000     -1.4014545E-09
  0.9387756      -1.000000     -9.5877550E-10
  0.9591837      -1.000000     -5.1369220E-10
  0.9795920      -1.000000     -2.0812074E-10
   1.000000      -1.000000     -4.6150191E-11
  -1.000000     -0.9795918     -2.0812074E-10
 -0.9795918     -0.9795918     -5.2189247E-10
 -0.9591838     -0.9795918     -9.7988839E-10
 -0.9387755     -0.9795918     -1.4229175E-09
 -0.9183674     -0.9795918     -1.3909305E-09
 -0.8979592     -0.9795918      3.2427998E-11
 -0.8775510     -0.9795918      4.2829003E-09
 -0.8571429     -0.9795918      1.3108686E-08
 -0.8367347     -0.9795918      2.7852964E-08
 -0.8163266     -0.9795918      4.7983821E-08
 -0.7959184     -0.9795918      6.8758659E-08
 -0.7755102     -0.9795918      7.8215614E-08
 -0.7551021     -0.9795918      5.4194679E-08
 -0.7346939     -0.9795918     -3.7266719E-08
 -0.7142858     -0.9795918     -2.4020764E-07
 -0.6938776     -0.9795918     -6.0136597E-07
 -0.6734694     -0.9795918     -1.1551406E-06
 -0.6530613     -0.9795918     -1.8998713E-06
 -0.6326531     -0.9795918     -2.7665792E-06
 -0.6122450     -0.9795918     -3.5839539E-06
 -0.5918368     -0.9795918     -4.0463901E-06
 -0.5714285     -0.9795918     -3.6945723E-06
 -0.5510204     -0.9795918     -1.9186646E-06
 -0.5306123     -0.9795918      2.0067494E-06
 -0.5102041     -0.9795918      8.8507086E-06
 -0.4897959     -0.9795918      1.9318179E-05
 -0.4693878     -0.9795918      3.3915836E-05
 -0.4489796     -0.9795918      5.2806932E-05
 -0.4285714     -0.9795918      7.5679549E-05
 -0.4081633     -0.9795918      1.0165093E-04
 -0.3877551     -0.9795918      1.2923272E-04
 -0.3673470     -0.9795918      1.5637193E-04
 -0.3469388     -0.9795918      1.8057386E-04
 -0.3265306     -0.9795918      1.9909794E-04
 -0.3061225     -0.9795918      2.0921296E-04
 -0.2857143     -0.9795918      2.0847304E-04
 -0.2653061     -0.9795918      1.9499315E-04
