         151         151
  -4.000000      -4.000000      0.2532699    
  -3.946667      -4.000000     -0.4030269    
  -3.893333      -4.000000      0.5220649    
  -3.840000      -4.000000     -0.5603364    
  -3.786667      -4.000000      0.4662371    
  -3.733333      -4.000000     -0.2107681    
  -3.680000      -4.000000     -0.1804179    
  -3.626667      -4.000000      0.6015030    
  -3.573334      -4.000000     -0.8724682    
  -3.520000      -4.000000      0.8012000    
  -3.466667      -4.000000     -0.3025987    
  -3.413334      -4.000000     -0.4755207    
  -3.360000      -4.000000       1.124290    
  -3.306667      -4.000000      -1.149333    
  -3.253334      -4.000000      0.3399214    
  -3.200000      -4.000000      0.8942860    
  -3.146667      -4.000000      -1.599945    
  -3.093333      -4.000000      0.9742035    
  -3.040000      -4.000000      0.7137791    
  -2.986667      -4.000000      -1.948444    
  -2.933333      -4.000000       1.229292    
  -2.880000      -4.000000       1.052974    
  -2.826667      -4.000000      -2.382921    
  -2.773334      -4.000000      0.7806568    
  -2.720000      -4.000000       2.141685    
  -2.666667      -4.000000      -2.360050    
  -2.613333      -4.000000      -1.004790    
  -2.560000      -4.000000       3.211296    
  -2.506667      -4.000000     -0.3176632    
  -2.453333      -4.000000      -3.497463    
  -2.400000      -4.000000       1.391229    
  -2.346667      -4.000000       3.606555    
  -2.293334      -4.000000      -2.049242    
  -2.240000      -4.000000      -3.876995    
  -2.186667      -4.000000       2.194539    
  -2.133333      -4.000000       4.478806    
  -2.080000      -4.000000      -1.629618    
  -2.026667      -4.000000      -5.301733    
  -1.973333      -4.000000      4.0789519E-02
  -1.920000      -4.000000       5.765124    
  -1.866667      -4.000000       2.707356    
  -1.813334      -4.000000      -4.711401    
  -1.760000      -4.000000      -5.840750    
  -1.706667      -4.000000      0.9683529    
  -1.653333      -4.000000       6.952475    
  -1.600000      -4.000000       4.777640    
  -1.546667      -4.000000      -3.023152    
  -1.493333      -4.000000      -7.945793    
  -1.440000      -4.000000      -5.041837    
  -1.386667      -4.000000       2.754948    
  -1.333333      -4.000000       8.412930    
  -1.280000      -4.000000       7.374748    
  -1.226667      -4.000000      0.7311687    
  -1.173333      -4.000000      -6.573351    
  -1.120000      -4.000000      -9.806593    
  -1.066667      -4.000000      -7.355933    
  -1.013333      -4.000000     -0.9842818    
 -0.9600001      -4.000000       5.870791    
 -0.9066668      -4.000000       10.16705    
 -0.8533334      -4.000000       10.50624    
 -0.8000000      -4.000000       7.255930    
 -0.7466667      -4.000000       1.906859    
 -0.6933333      -4.000000      -3.774265    
 -0.6400000      -4.000000      -8.384895    
 -0.5866666      -4.000000      -11.17132    
 -0.5333333      -4.000000      -12.00681    
 -0.4799999      -4.000000      -11.20081    
 -0.4266666      -4.000000      -9.270267    
 -0.3733332      -4.000000      -6.754322    
 -0.3199999      -4.000000      -4.102430    
 -0.2666665      -4.000000      -1.631606    
 -0.2133332      -4.000000      0.4700467    
 -0.1599998      -4.000000       2.114179    
 -0.1066667      -4.000000       3.276716    
 -5.3333119E-02  -4.000000       3.964538    
  0.0000000E+00  -4.000000       4.191657    
  5.3333584E-02  -4.000000       3.964538    
  0.1066667      -4.000000       3.276716    
  0.1600003      -4.000000       2.114179    
  0.2133334      -4.000000      0.4700467    
  0.2666670      -4.000000      -1.631606    
  0.3200001      -4.000000      -4.102430    
  0.3733332      -4.000000      -6.754322    
  0.4266668      -4.000000      -9.270267    
  0.4799999      -4.000000      -11.20081    
  0.5333335      -4.000000      -12.00681    
