 -1.500000000000000E-002 NaN                     -1.500000000000000E-002
 NaN                     -1.500000000000000E-002 NaN                    
 -1.500000000000000E-002 NaN                    
 -1.493333333333333E-002 NaN                     -1.493333333333333E-002
 NaN                     -1.493333333333333E-002 NaN                    
 -1.493333333333333E-002 NaN                    
 -1.486666666666667E-002 NaN                     -1.486666666666667E-002
 NaN                     -1.486666666666667E-002 NaN                    
 -1.486666666666667E-002 NaN                    
 -1.480000000000000E-002 NaN                     -1.480000000000000E-002
 NaN                     -1.480000000000000E-002 NaN                    
 -1.480000000000000E-002 NaN                    
 -1.473333333333333E-002 NaN                     -1.473333333333333E-002
 NaN                     -1.473333333333333E-002 NaN                    
 -1.473333333333333E-002 NaN                    
 -1.466666666666667E-002 NaN                     -1.466666666666667E-002
 NaN                     -1.466666666666667E-002 NaN                    
 -1.466666666666667E-002 NaN                    
 -1.460000000000000E-002 NaN                     -1.460000000000000E-002
 NaN                     -1.460000000000000E-002 NaN                    
 -1.460000000000000E-002 NaN                    
 -1.453333333333333E-002 NaN                     -1.453333333333333E-002
 NaN                     -1.453333333333333E-002 NaN                    
 -1.453333333333333E-002 NaN                    
 -1.446666666666667E-002 NaN                     -1.446666666666667E-002
 NaN                     -1.446666666666667E-002 NaN                    
 -1.446666666666667E-002 NaN                    
 -1.440000000000000E-002 NaN                     -1.440000000000000E-002
 NaN                     -1.440000000000000E-002 NaN                    
 -1.440000000000000E-002 NaN                    
 -1.433333333333333E-002 NaN                     -1.433333333333333E-002
 NaN                     -1.433333333333333E-002 NaN                    
 -1.433333333333333E-002 NaN                    
 -1.426666666666667E-002 NaN                     -1.426666666666667E-002
 NaN                     -1.426666666666667E-002 NaN                    
 -1.426666666666667E-002 NaN                    
 -1.420000000000000E-002 NaN                     -1.420000000000000E-002
 NaN                     -1.420000000000000E-002 NaN                    
 -1.420000000000000E-002 NaN                    
 -1.413333333333333E-002 NaN                     -1.413333333333333E-002
 NaN                     -1.413333333333333E-002 NaN                    
 -1.413333333333333E-002 NaN                    
 -1.406666666666667E-002 NaN                     -1.406666666666667E-002
 NaN                     -1.406666666666667E-002 NaN                    
 -1.406666666666667E-002 NaN                    
 -1.400000000000000E-002 NaN                     -1.400000000000000E-002
 NaN                     -1.400000000000000E-002 NaN                    
 -1.400000000000000E-002 NaN                    
 -1.393333333333333E-002 NaN                     -1.393333333333333E-002
 NaN                     -1.393333333333333E-002 NaN                    
 -1.393333333333333E-002 NaN                    
 -1.386666666666667E-002 NaN                     -1.386666666666667E-002
 NaN                     -1.386666666666667E-002 NaN                    
 -1.386666666666667E-002 NaN                    
 -1.380000000000000E-002 NaN                     -1.380000000000000E-002
 NaN                     -1.380000000000000E-002 NaN                    
 -1.380000000000000E-002 NaN                    
 -1.373333333333333E-002 NaN                     -1.373333333333333E-002
 NaN                     -1.373333333333333E-002 NaN                    
 -1.373333333333333E-002 NaN                    
 -1.366666666666667E-002 NaN                     -1.366666666666667E-002
 NaN                     -1.366666666666667E-002 NaN                    
 -1.366666666666667E-002 NaN                    
 -1.360000000000000E-002 NaN                     -1.360000000000000E-002
 NaN                     -1.360000000000000E-002 NaN                    
 -1.360000000000000E-002 NaN                    
 -1.353333333333333E-002 NaN                     -1.353333333333333E-002
 NaN                     -1.353333333333333E-002 NaN                    
 -1.353333333333333E-002 NaN                    
 -1.346666666666667E-002 NaN                     -1.346666666666667E-002
 NaN                     -1.346666666666667E-002 NaN                    
 -1.346666666666667E-002 NaN                    
 -1.340000000000000E-002 NaN                     -1.340000000000000E-002
 NaN                     -1.340000000000000E-002 NaN                    
 -1.340000000000000E-002 NaN                    
 -1.333333333333333E-002 NaN                     -1.333333333333333E-002
 NaN                     -1.333333333333333E-002 NaN                    
 -1.333333333333333E-002 NaN                    
 -1.326666666666667E-002 NaN                     -1.326666666666667E-002
 NaN                     -1.326666666666667E-002 NaN                    
 -1.326666666666667E-002 NaN                    
 -1.320000000000000E-002 NaN                     -1.320000000000000E-002
 NaN                     -1.320000000000000E-002 NaN                    
 -1.320000000000000E-002 NaN                    
 -1.313333333333333E-002 NaN                     -1.313333333333333E-002
 NaN                     -1.313333333333333E-002 NaN                    
 -1.313333333333333E-002 NaN                    
 -1.306666666666667E-002 NaN                     -1.306666666666667E-002
 NaN                     -1.306666666666667E-002 NaN                    
 -1.306666666666667E-002 NaN                    
